Remote Event Rate,NLP,Mean TS,Evt Memory Multiplier,Lookahead,Start-Events,Stagger,Memory,read-buffer,send-buffer,synch,nkp,end_ts,batch_size,extramem,buddy-size,lz4-knob,avl-size,gvt-interval,report-interval,clock-rate,Total Nodes,Total Processors,Total KPs,Total LPs,Sim End Time,LP-PE Mapping,Model Events Allocated,Network Events Allocated,Total Events Allocated,Running Time,Total Events Proc,Events Aborted RollBack,Events Rolled Back,Event Ties,Efficiency,Remote Shared Memory events,Percent Rem Mem Evts,Total Remote Network Events,Percent Network Remote Events,Total Roll Backs,Primary Roll Backs,Secondary Roll Backs,Fossil Collect Attempts,Total GVT Computations,Net Events,Event Rate,Total Evts Past End time,Evts Allocated,Mem Alloc,Mem Waste,Remote sends,Remote Recvs,PE Struct,KP Struct,LP Struct,LP Model Struct,LP RNGs,Total LP,Event Struct,Event Struct with Model,Priority Queue,AVL Tree,LZ4,Buddy System,Event Processing,Event Cancel,Event Abort,GVT,Fossil Collect,Primary Rollbacks,Network Read,Total Time
0.25,8,1,1.4,1,1,0,100,50000,50000,3,16,100000,16,5000,0,1,18,16,0.01,1000000000,32,32,512,256,100000,linear,5112,50000,50111,17.1984,108253193,0,82653449,66249929,-222.87,0,0,6200930,24.22,13218261,7075598,6142663,666496,20828,25599744,1488499.31,861,55112,29820,916,45141970,45141970,592,104,56,8,80,144,120,128,0.3978,0.5962,0,0,6.5127,5.6045,0,15.272,0.1592,6.3308,3.25,36.1184
0.25,16,1,1.4,1,1,0,100,50000,50000,3,16,100000,16,5000,0,1,18,16,0.01,1000000000,32,32,512,512,100000,linear,5123,50000,50122,13.9481,113911828,0,62712340,87075511,-22.49,0,0,12399912,24.22,12224989,6978456,5246533,500000,15625,51199488,3670716.25,1089,55123,29822,915,41524604,41524604,592,104,56,8,80,144,120,128,0.4631,0.625,0,0,7.1385,4.1223,0,10.02,0.2795,5.6877,3.6847,29.2925
0.25,32,1,1.4,1,1,0,100,50000,50000,3,16,100000,16,5000,0,1,18,16,0.01,1000000000,32,32,512,1024,100000,linear,5145,50000,50144,10.8558,125082476,0,22683500,116291588,77.85,0,0,24804096,24.22,5260474,3893387,1367087,490528,15329,102398976,9432626.1,1308,55145,29827,912,34969326,34969326,592,104,56,8,80,144,120,128,0.4966,0.6575,0,0,7.8362,0.756,0,7.1929,0.4945,3.0527,4.4968,22.7984
0.25,8,1,1.4,1,1,0,100,50000,50000,3,16,100000,16,5000,0,1,18,512,0.01,1000000000,32,32,512,256,100000,linear,5112,50000,50111,11.1265,92669472,0,67069728,52382983,-161.99,0,0,6200930,24.22,11296633,5770561,5526072,60224,1882,25599744,2300787.06,1297,55112,29820,916,37851386,37851386,592,104,56,8,80,144,120,128,0.3359,0.6902,0,0,5.5455,5.0516,0,3.1235,0.1506,4.6547,4.9899,23.3669
0.25,16,1,1.4,1,1,0,100,50000,50000,3,16,100000,16,5000,0,1,18,512,0.01,1000000000,32,32,512,512,100000,linear,5123,50000,50122,9.2002,98959653,0,47760165,75517006,6.72,0,0,12399912,24.22,8446660,4861303,3585357,25696,803,51199488,5565048.02,1287,55123,29822,915,34529072,34529072,592,104,56,8,80,144,120,128,0.3756,0.8189,0,0,6.0164,3.6465,0,1.6555,0.3305,3.442,4.2966,19.3214
0.25,32,1,1.4,1,1,0,100,50000,50000,3,16,100000,16,5000,0,1,18,512,0.01,1000000000,32,32,512,1024,100000,linear,5145,50000,50144,9.8008,133464116,0,31065140,123019996,69.66,0,0,24804096,24.22,6463236,4504164,1959072,27360,855,102398976,10448010.48,1199,55145,29827,912,38919564,38919564,592,104,56,8,80,144,120,128,0.5176,1.1613,0,0,8.0119,1.2268,0,1.1132,0.6904,3.7332,5.6486,20.5827
0.25,8,1,1.4,1,1,0,100,50000,50000,3,16,100000,16,5000,0,1,18,1024,0.01,1000000000,32,32,512,256,100000,linear,5112,50000,50111,8.2588,73786773,0,48187029,42951800,-88.23,0,0,6200930,24.22,8472332,4632913,3839419,22624,707,25599744,3099705.32,755,55112,29820,916,28829240,28829240,592,104,56,8,80,144,120,128,0.2758,0.6345,0,0,4.4071,3.325,0,1.7479,0.1725,3.6951,3.9167,17.3443
0.25,16,1,1.4,1,1,0,100,50000,50000,3,16,100000,16,5000,0,1,18,1024,0.01,1000000000,32,32,512,512,100000,linear,5123,50000,50122,6.3109,75924245,0,24724757,60283563,51.71,0,0,12399912,24.22,5365473,3662068,1703405,14016,438,51199488,8112859.88,647,55123,29822,915,23582960,23582960,592,104,56,8,80,144,120,128,0.2966,0.6625,0,0,4.6248,1.1758,0,0.9685,0.3796,2.5534,3.4602,13.2536
0.25,32,1,1.4,1,1,0,100,50000,50000,3,16,100000,16,5000,0,1,18,1024,0.01,1000000000,32,32,512,1024,100000,linear,5145,50000,50144,10.2913,133503151,0,31104175,123090672,69.62,0,0,24804096,24.22,6435264,4476041,1959223,27264,852,102398976,9950070.94,1220,55145,29827,912,38950668,38950668,592,104,56,8,80,144,120,128,0.5188,1.1768,0,0,8.1152,1.387,0,1.7509,0.7421,3.7375,6.0747,21.6128
0.25,8,1,1.4,1,1,0,100,50000,50000,3,16,100000,512,5000,0,1,18,16,0.01,1000000000,32,32,512,256,100000,linear,5112,50000,50111,36.3137,229842742,0,204242998,129050709,-697.83,0,0,6200930,24.22,26525367,15094830,11430537,592160,18505,25599744,704960.47,1748,55112,29820,916,104733136,104733136,592,104,56,8,80,144,120,128,0.8249,1.3343,0,0,14.0158,11.3831,0,29.7941,0.1704,19.1506,3.7607,76.2627
